,LEAP - 4026 (Parent Series),daily series test 1,International Reserves,Testing 9.7 (f),QC Team Testing: Case: 985.11
Region,Test,Test,Chile,Test,Test
Subnational,,,,,
Frequency,"Daily, ""5 observation""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""5 observation"""
Unit,%,Person,USD mn,Unit,NA
Source,CDM_Stress_Test_STP_QA_Akshata,test22_10,Central Bank of Chile,Test AC 9.7,QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,366946997 (CDCC),352636197,114157808,383129097,379564047
SR Code,SR88307687,SR88086077,SR1393378,SR101306137,SR108100567
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,02/02/2015,01/12/2013,31/12/1995,28/10/2016,13/01/2003
Last Obs. Date,27/03/2015,18/12/2013,07/05/2019,06/12/2016,26/08/2016
Last Update Time,27/03/2015,12/02/2016,15/05/2019,10/10/2018,26/08/2016
Series remarks,,this is my remark,,,
Suggestions,,,,,
13/06/2003,,,,,194.67353952
15/06/2003,,,15825.4,,
16/06/2003,,,,,194.67353952
17/06/2003,,,,,194.67353952
18/06/2003,,,,,194.67353952
19/06/2003,,,,,194.84536082
20/06/2003,,,,,194.84536082
23/06/2003,,,15846.7,,195.18900344
24/06/2003,,,,,195.36082474
25/06/2003,,,,,195.53264605
26/06/2003,,,,,195.53264605
27/06/2003,,,,,195.70446735
30/06/2003,,,15490.4,,
01/07/2003,,,,,195.87628866
02/07/2003,,,,,195.87628866
03/07/2003,,,,,196.04810997
04/07/2003,,,,,196.21993127
07/07/2003,,,15543.7,,196.39175258
08/07/2003,,,,,196.39175258
09/07/2003,,,,,196.39175258
10/07/2003,,,,,196.39175258
11/07/2003,,,,,196.56357388
14/07/2003,,,,,196.56357388
15/07/2003,,,15572.1,,196.73539519
16/07/2003,,,,,196.73539519
17/07/2003,,,,,197.0790378
18/07/2003,,,,,197.25085911
21/07/2003,,,,,197.42268041
22/07/2003,,,,,197.59450172
23/07/2003,,,15571.8,,197.76632302
24/07/2003,,,,,197.76632302
25/07/2003,,,,,197.93814433
28/07/2003,,,,,197.93814433
29/07/2003,,,,,197.93814433
30/07/2003,,,,,197.93814433
31/07/2003,,,15417.9,,198.10996564
07/08/2003,,,15374.9,,
08/08/2003,,,,,197.93814433
11/08/2003,,,,,197.93814433
12/08/2003,,,,,197.93814433
13/08/2003,,,,,197.76632302
14/08/2003,,,,,197.76632302
15/08/2003,,,15470.7,,197.76632302
18/08/2003,,,,,197.76632302
19/08/2003,,,,,197.76632302
20/08/2003,,,,,197.93814433
21/08/2003,,,,,197.93814433
22/08/2003,,,,,197.93814433
23/08/2003,,,15479.5,,
25/08/2003,,,,,198.10996564
26/08/2003,,,,,198.10996564
27/08/2003,,,,,198.28178694
28/08/2003,,,,,198.28178694
29/08/2003,,,,,198.28178694
31/08/2003,,,15331.3,,
01/09/2003,,,,,198.28178694
02/09/2003,,,,,198.28178694
03/09/2003,,,,,198.28178694
04/09/2003,,,,,198.28178694
05/09/2003,,,,,198.28178694
07/09/2003,,,15329,,
08/09/2003,,,,,198.28178694
09/09/2003,,,,,198.45360825
10/09/2003,,,,,198.45360825
11/09/2003,,,,,198.62542955
12/09/2003,,,,,198.79725086
15/09/2003,,,15417.5,,198.79725086
16/09/2003,,,,,198.79725086
17/09/2003,,,,,198.79725086
18/09/2003,,,,,198.96907216
19/09/2003,,,,,198.96907216
22/09/2003,,,,,198.96907216
23/09/2003,,,15407.9,,199.14089347
24/09/2003,,,,,199.14089347
25/09/2003,,,,,199.14089347
26/09/2003,,,,,199.14089347
29/09/2003,,,,,199.14089347
30/09/2003,,,15654.8,,199.14089347
01/10/2003,,,,,199.14089347
02/10/2003,,,,,199.31271478
03/10/2003,,,,,199.14089347
06/10/2003,,,,,199.14089347
07/10/2003,,,15603.1,,199.14089347
08/10/2003,,,,,199.14089347
09/10/2003,,,,,199.14089347
10/10/2003,,,,,199.14089347
13/10/2003,,,,,199.31271478
14/10/2003,,,,,199.31271478
15/10/2003,,,15709.5,,199.31271478
16/10/2003,,,,,199.48453608
17/10/2003,,,,,199.48453608
20/10/2003,,,,,199.65635739
21/10/2003,,,,,199.65635739
22/10/2003,,,,,199.82817869
23/10/2003,,,15651.7,,199.82817869
24/10/2003,,,,,200
27/10/2003,,,,,200
28/10/2003,,,,,200.17182131
29/10/2003,,,,,200.17182131
30/10/2003,,,,,200.17182131
31/10/2003,,,15649.5,,200.17182131
03/11/2003,,,,,200.17182131
04/11/2003,,,,,200.17182131
05/11/2003,,,,,200.34364261
06/11/2003,,,,,200.34364261
07/11/2003,,,15652.8,,200.34364261
10/11/2003,,,,,200.34364261
11/11/2003,,,,,200.51546392
12/11/2003,,,,,200.68728522
13/11/2003,,,,,200.68728522
14/11/2003,,,,,200.85910653
15/11/2003,,,15782.4,,
17/11/2003,,,,,200.85910653
18/11/2003,,,,,200.85910653
19/11/2003,,,,,201.03092784
20/11/2003,,,,,201.03092784
21/11/2003,,,,,201.03092784
23/11/2003,,,15687.9,,
24/11/2003,,,,,201.20274914
25/11/2003,,,,,201.03092784
26/11/2003,,,,,201.20274914
27/11/2003,,,,,201.20274914
28/11/2003,,,,,201.20274914
30/11/2003,,,15777.9,,
01/12/2003,,,,,201.20274914
02/12/2003,,,,,201.20274914
03/12/2003,,,,,201.20274914
04/12/2003,,,,,201.37457045
05/12/2003,,,,,201.37457045
07/12/2003,,,15700.8,,
08/12/2003,,,,,201.37457045
09/12/2003,,,,,201.20274914
10/12/2003,,,,,201.20274914
11/12/2003,,,,,201.20274914
12/12/2003,,,,,201.20274914
15/12/2003,,,15844.1,,201.20274914
16/12/2003,,,,,201.20274914
17/12/2003,,,,,201.20274914
18/12/2003,,,,,201.03092784
19/12/2003,,,,,201.03092784
22/12/2003,,,,,201.03092784
23/12/2003,,,15776.7,,200.85910653
24/12/2003,,,,,200.85910653
25/12/2003,,,,,200.85910653
26/12/2003,,,,,200.85910653
29/12/2003,,,,,200.85910653
30/12/2003,,,,,200.68728522
31/12/2003,,,15851.2,,200.68728522
01/01/2004,,,,,200.68728522
02/01/2004,,,,,200.68728522
05/01/2004,,,,,200.51546392
06/01/2004,,,,,200.68728522
07/01/2004,,,15984.6,,200.85910653
08/01/2004,,,,,201.03092784
09/01/2004,,,,,201.20274914
12/01/2004,,,,,201.20274914
13/01/2004,,,,,201.37457045
14/01/2004,,,,,201.37457045
15/01/2004,,,16233.9,,201.37457045
16/01/2004,,,,,201.20274914
19/01/2004,,,,,201.37457045
20/01/2004,,,,,201.03092784
21/01/2004,,,,,201.03092784
22/01/2004,,,,,201.03092784
23/01/2004,,,15905.8,,200.85910653
26/01/2004,,,,,201.03092784
27/01/2004,,,,,200.85910653
28/01/2004,,,,,201.03092784
29/01/2004,,,,,200.68728522
30/01/2004,,,,,201.20274914
31/01/2004,,,16025.7,,
02/02/2004,,,,,201.03092784
03/02/2004,,,,,201.20274914
